Start,End,Open
2024-02-12,2024-02-18,48273.97
2024-02-05,2024-02-12,42588.21
2024-01-29,2024-02-05,41947.97
2024-01-22,2024-01-29,41598.12
2024-01-15,2024-01-22,41845.43
2024-01-08,2024-01-15,43945.06
2024-01-01,2024-01-08,42396.02
2023-12-25,2024-01-01,43033.57
2023-12-18,2023-12-25,41430.58
2023-12-11,2023-12-18,43795.02
2023-12-04,2023-12-11,39996.28
2023-11-27,2023-12-04,37451.29
2023-11-20,2023-11-27,37280.92
2023-11-13,2023-11-20,37026.56
2023-11-06,2023-11-13,34939.54
2023-10-30,2023-11-06,34545.59
2023-10-23,2023-10-30,29952.62
2023-10-16,2023-10-23,27164.23
2023-10-09,2023-10-16,27906.04
2023-10-02,2023-10-09,27982.93
2023-09-25,2023-10-02,26223.37
2023-09-18,2023-09-25,26534.11
2023-09-11,2023-09-18,25843.59
2023-09-04,2023-09-11,25958.07
2023-08-28,2023-09-04,26065.04
2023-08-21,2023-08-28,26182.79
2023-08-14,2023-08-21,29295.94
2023-08-07,2023-08-14,29088.91
2023-07-31,2023-08-07,29285.32
2023-07-24,2023-07-31,30076.96
2023-07-17,2023-07-24,30199.96
2023-07-10,2023-07-17,30137.37
2023-07-03,2023-07-10,30625.27
2023-06-26,2023-07-03,30441.38
2023-06-19,2023-06-26,26351.21
2023-06-12,2023-06-19,25922.89
2023-06-05,2023-06-12,27092.18
2023-05-29,2023-06-05,28136.36
2023-05-22,2023-05-29,26747.74
2023-05-15,2023-05-22,26917.59
2023-05-08,2023-05-15,28417.98
2023-05-01,2023-05-08,29190.79
2023-04-24,2023-05-01,27589.73
2023-04-17,2023-04-24,30307.41507053425
2023-04-10,2023-04-17,28323.772173177105
2023-04-03,2023-04-10,28170.7772
2023-03-27,2023-04-03,27970.498834865924
2023-03-20,2023-03-27,27960.5165
2023-03-13,2023-03-20,21996.35382169965
2023-03-06,2023-03-13,22428.6582
2023-02-27,2023-03-06,23556.2553
2023-02-20,2023-02-27,24295.4446
2023-02-13,2023-02-20,21784.9464
2023-02-06,2023-02-13,22931.358815666863
2023-01-30,2023-02-06,23749.461
2023-01-23,2023-01-30,22717.532
2023-01-16,2023-01-23,20874.7874806025
2023-01-09,2023-01-16,17114.08109101332
2023-01-02,2023-01-09,16617.25439639316
2022-12-26,2023-01-02,16832.923370768047
2022-12-19,2022-12-26,16741.11828923561
2022-12-12,2022-12-19,17089.446091063823
2022-12-05,2022-12-12,17112.095826545075
2022-11-28,2022-12-05,16425.2129114358
2022-11-21,2022-11-28,16286.8064
2022-11-14,2022-11-21,16331.35217790576
2022-11-07,2022-11-14,20918.1723
2022-10-31,2022-11-07,20620.8161
2022-10-24,2022-10-31,19564.5146
2022-10-17,2022-10-24,19256.406229271728
2022-10-10,2022-10-17,19443.0047
2022-10-03,2022-10-10,19057.64369556662
2022-09-26,2022-10-03,18802.6997
2022-09-19,2022-09-26,19420.56090741535
2022-09-12,2022-09-19,21818.602960045457
2022-09-05,2022-09-12,20000.399475766444
2022-08-29,2022-09-05,19539.5807
2022-08-22,2022-08-29,21511.405475999924
2022-08-15,2022-08-22,24300.94303970077
2022-08-08,2022-08-15,23173.56449345656
2022-08-01,2022-08-08,23311.5556
2022-07-25,2022-08-01,22583.915772423832
2022-07-18,2022-07-25,20787.37682154441
2022-07-11,2022-07-18,20849.271921637504
2022-07-04,2022-07-11,19317.458
2022-06-27,2022-07-04,21036.933
2022-06-20,2022-06-27,20580.038
2022-06-13,2022-06-20,26599.661163385103
2022-06-06,2022-06-13,29930.459302694697
2022-05-30,2022-06-06,29468.0772
2022-05-23,2022-05-30,30295.927741628228
2022-05-16,2022-05-23,31293.22238528581
2022-05-09,2022-05-16,34062.89399546784
2022-05-02,2022-05-09,38465.5131
2022-04-25,2022-05-02,39464.99826486009
